SUPPORT,CONFIDENCE,LIFT,LHS,RHS,COUNT
0.03101,0.2448979591836735,1,1062,"(1120,)",12
0.03101,0.19354838709677422,1,1120,"(1062,)",12
0.03101,0.18181818181818182,1,951,"(703,)",12
0.03359,0.4814814814814815,2,1174,"(951,)",12
0.03101,0.17910447761194032,2,956,"(641,)",12
0.03101,0.16216216216216217,1,982,"(710,)",12
0.03359,0.28260869565217395,2,710,"(366,)",12
0.03101,0.23076923076923075,1,1247,"(956,)",12
0.03101,0.17910447761194032,1,956,"(1247,)",12
0.03101,0.18181818181818182,2,951,"(635,)",12
0.03101,0.48000000000000004,2,635,"(951,)",12
0.03101,0.4,2,641,"(956,)",12
0.03359,0.33333333333333337,2,366,"(710,)",12
0.03359,0.196969696969697,2,951,"(317,)",12
0.03359,0.4814814814814815,2,317,"(951,)",12
0.03359,0.196969696969697,2,951,"(308,)",12
0.03359,0.196969696969697,2,951,"(1174,)",12
0.03359,0.4814814814814815,2,308,"(951,)",12
0.03359,0.23214285714285718,1,712,"(982,)",12
0.03359,0.17567567567567569,1,982,"(712,)",12
0.03359,0.23214285714285718,4,712,"(1279,)",12
0.03359,0.4814814814814815,10,317,"(320,)",12
0.03101,0.32432432432432434,1,65,"(956,)",12
0.03359,0.7222222222222223,10,320,"(317,)",12
0.03359,0.43333333333333335,3,641,"(697,)",12
0.03359,0.2653061224489796,3,697,"(641,)",12
0.03101,0.2,1,703,"(1030,)",12
0.03101,0.2222222222222222,1,1030,"(703,)",12
0.03101,0.2608695652173913,1,710,"(953,)",12
0.03101,0.2222222222222222,1,953,"(710,)",12
0.03101,0.4444444444444444,6,308,"(711,)",12
0.03101,0.4444444444444444,6,711,"(308,)",12
0.03101,0.4444444444444444,6,317,"(1174,)",12
0.03101,0.4444444444444444,6,1174,"(317,)",12
0.03101,0.4444444444444444,2,711,"(951,)",12
0.03101,0.18181818181818182,2,951,"(711,)",12
0.03359,0.18309859154929578,1,1056,"(953,)",12
0.03359,0.7647058823529412,7,63,"(61,)",12
0.03359,0.24074074074074076,1,953,"(1056,)",12
0.03359,0.34210526315789475,7,61,"(63,)",12
0.03101,0.4,2,641,"(982,)",12
0.03359,0.18309859154929578,1,1056,"(633,)",12
0.03359,0.19402985074626866,3,956,"(635,)",12
0.03101,0.2142857142857143,1,712,"(1266,)",12
0.03359,0.24074074074074076,2,1030,"(633,)",12
0.03359,0.34210526315789475,5,1026,"(240,)",12
0.03359,0.5652173913043479,5,240,"(1026,)",12
0.03359,0.23214285714285718,1,712,"(1324,)",12
0.03359,0.2653061224489796,1,1324,"(712,)",12
0.03359,0.2653061224489796,2,697,"(1324,)",12
0.03359,0.2653061224489796,2,1324,"(697,)",12
0.03101,0.2142857142857143,3,712,"(998,)",12
0.03359,0.34210526315789475,2,633,"(1030,)",12
0.03101,0.2222222222222222,1,1266,"(712,)",12
0.03359,0.3170731707317073,1,757,"(956,)",12
0.03359,0.19402985074626866,1,956,"(757,)",12
0.03359,0.24074074074074076,4,1030,"(542,)",12
0.03359,0.5652173913043479,4,542,"(1030,)",12
0.03101,0.2448979591836735,2,697,"(633,)",12
0.03101,0.3157894736842105,2,633,"(697,)",12
0.03101,0.4444444444444444,3,998,"(712,)",12
0.03359,0.52,3,635,"(956,)",12
0.03101,0.2222222222222222,2,1030,"(954,)",12
0.03101,0.2222222222222222,2,953,"(1026,)",12
0.03101,0.3,6,64,"(63,)",12
0.03359,0.34210526315789475,2,1026,"(951,)",12
0.03359,0.34210526315789475,2,61,"(951,)",12
0.03359,0.196969696969697,2,951,"(61,)",12
0.03359,0.196969696969697,2,951,"(633,)",12
0.03359,0.196969696969697,2,951,"(1026,)",12
0.03359,0.34210526315789475,2,633,"(951,)",12
